Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
Car;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Client;0;6;0;1;9.0;1090.0225;0.0353;31;15;121.1136;1;59.1497;12;14;0;1;0;13;0;1;13;0;0;5;0.0;1.0;1
FamilyCar;1;2;0;1;3.3333;120.0;0.0081;12;8;36.0;1;72.1206;2;2;0;2;0;16;0;2;16;0;0;3;1.0;1.0;2
FamilyVehicleFactory;0;6;0;1;0.0;0.0;0.0;8;5;18.5754;2;74.1428;0;2;0;2;0;16;0;2;16;0;0;2;0.0;1.0;2
PickupTruck;1;2;0;1;3.3333;120.0;0.0081;12;8;36.0;1;72.1206;2;2;0;2;0;16;0;2;16;0;0;3;1.0;1.0;2
SUV;1;2;0;1;3.3333;120.0;0.0081;12;8;36.0;1;72.1206;2;2;0;2;0;16;0;2;16;0;0;3;1.0;1.0;2
SportsCar;1;2;0;1;3.3333;120.0;0.0081;12;8;36.0;1;72.1206;2;2;0;2;0;16;0;2;16;0;0;3;1.0;1.0;2
SportsVehicleFactory;0;6;0;1;0.0;0.0;0.0;8;5;18.5754;2;74.1428;0;2;0;2;0;16;0;2;16;0;0;2;0.0;1.0;2
Truck;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Vehicle;0;3;0;1;0.0;0.0;0.0;6;3;9.5098;2;0.0;0;0;0;0;0;14;2;2;14;0;0;2;0.0;0.0;2
VehicleFactory;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
